Nome,Categoria,Raridade,Efeito,Efeito_Jogador,Valor (Sins),Obtenção,Tipo de Craft,Ingredientes,Tags,Lore/Notas,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18
Pedaço de Carvão,Lixo,Lixo,Serve para escrever em superfícies ou iniciar fogo. ~10 usos.,,1d8+1,Drop CR≤2,Não-craftável,,Utilidade,,,,,,,,,,,,,,,,,,,
Garra Lascada,Lixo,Lixo,"Garra sem fio. Sem uso mecânico — vendor trash, ou enfeite.",,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Cascalho Brilhante,Lixo,Lixo,"Parece valioso, mas é quartzo comum. Qualquer mercador percebe. Vendor trash.",,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Sebo Animal,Lixo,Lixo,Gordura animal endurecida. Pode virar vela ou sabão com tempo. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Pena Suja,Lixo,Lixo,"Pena de ave comum, manchada. Vendor trash.",,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Olho de Vidro Rachado,Lixo,Lixo,"Olho artificial barato, sem par. Vendor trash.",,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Vértebra Pequena,Lixo,Lixo,Osso de animal pequeno. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Botão de Osso,Lixo,Lixo,Botão primitivo esculpido em osso. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Inseto Esmagado,Lixo,Lixo,Restos de inseto. Cheiro ácido. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Trapo Sujo,Lixo,Lixo,Pedaço de tecido imundo. Pode servir como pano improvisado. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Musgo Grudento,Lixo,Lixo,Massa vegetal sem efeito alquímico. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Pelo Seboso,Lixo,Lixo,Tufo de pelo imundo. Cheiro terrível. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Couro Cru (tira),Lixo,Lixo,"Tira de couro sem tratamento. Vendor trash, ou material bruto de pouco valor.",,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Bola de Lama Seca,Lixo,Lixo,Curiosidade geológica inútil. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Casca de Ovo,Lixo,Lixo,Casca de ovo de criatura desconhecida. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Moeda Falsa,Lixo,Lixo,Sin falsificado. Qualquer mercador percebe; tentar usar pode gerar problema. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Isqueiro de Pedra,Bugiganga,Ordinário,Pederneira. Acende fogo em 1 minuto sem teste.,,2d10,"Drop CR≤2, Loja",Engenharia,1x Madeira Comum,Luz,,,,,,,,,,,,,,,,,,,
Manta Térmica,Bugiganga,Ordinário,Proteção contra frio noturno. Eleva a qualidade de um descanso ao ar livre em 1 nível.,,2d10,Loja,Engenharia,1x Tecido Resistente,Sobrevivência,,,,,,,,,,,,,,,,,,,
Lenha Seca,Material,Ordinário,Suficiente para uma fogueira completa de acampamento.,,2d10,"Drop CR≤2, Loja",Não-craftável,,Utilidade,,,,,,,,,,,,,,,,,,,
Chave Simples,Bugiganga,Ordinário,Chave que abre algo. Só resta achar a fechadura.,,2d10,Drop CR≤2,Engenharia,1x Peça Mecânica,Crime,,,,,,,,,,,,,,,,,,,
Vela de Sebo,Bugiganga,Ordinário,Luz fraca por 8h cada. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,2d10,"Drop CR≤2, Loja",Engenharia,1x Madeira Comum,Luz,,,,,,,,,,,,,,,,,,,
Arremessos do Véu,Munição,Exótico,[Arremesso] Ignora toda Armadura (Ar e Ae) no acerto. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,6d10+40,Drop CR≥3,Não-craftável,,Munição/Arremesso,Ponta forjada com material do Abismo; perfura o plano físico.,,,,,,,,,,,,,,,,,,
Kit de Ferramentas Básico,Bugiganga,Ordinário,Kit completo que permite testes de Ofício sem treinamento na perícia.,,2d10,"Drop CR≥3, Loja",Engenharia,1x Peça Mecânica,Ferramentas,,,,,,,,,,,,,,,,,,,
Óleo Comum (frasco),Bugiganga,Ordinário,Pode lubrificar mecanismos ou alimentar lanterna por 8h. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,2d10,"Drop CR≤2, Loja",Engenharia,1x Tecido Resistente,Sobrevivência,,,,,,,,,,,,,,,,,,,
Virotes de Casca-Seiva,Munição,Exótico,[Distância Simples] +1d6 Veneno no acerto. Fort. ou Paralisado 1 rodada. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,6d10+40,Drop CR≥3,Não-craftável,,Munição/Distância Simples,Pontas embebidas na seiva concentrada da Vhelor; imobiliza a presa.,,,,,,,,,,,,,,,,,,
Selo Simples,Bugiganga,Ordinário,Selo de cera genérico. Pode falsificar documentos simples (teste de Engação aplicável).,,2d10,Drop CR≤2,Engenharia,1x Tecido Resistente,Escrita,,,,,,,,,,,,,,,,,,,
Bolsa de Couro,Bugiganga,Ordinário,Bolsa funcional. Adiciona +2 de capacidade de bugigangas.,,2d10,"Drop CR≤2, Loja",Engenharia,1x Tecido Resistente,Armazenamento,,,,,,,,,,,,,,,,,,,
Anzol + Linha,Bugiganga,Ordinário,Kit de pesca básico. Permite teste de Sobrevivência CD 12 para obter comida em água.,,2d10,"Drop CR≤2, Loja",Engenharia,1x Tecido Resistente,Sobrevivência,,,,,,,,,,,,,,,,,,,
Virotes do Relâmpago,Munição,Exótico,"[Distância Simples] +1d6 Elétrico no acerto. Salta para alvo adjacente em 1,5m: +1d4 Elétrico. Empilhável: pesa 1 bugiganga a cada 10 unidades.",,6d10+40,Drop CR≥3,Não-craftável,,Munição/Distância Simples,,,,,,,,,,,,,,,,,,,
Frasco Vazio,Bugiganga,Ordinário,Frasco de vidro reutilizável para alquimia ou armazenamento. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,2d10,"Drop CR≤2, Loja",Engenharia,1x Tecido Resistente,Armazenamento,,,,,,,,,,,,,,,,,,,
Tinta + Pena,Bugiganga,Ordinário,Kit de escrita com tinta para ~10 páginas.,,2d10,"Drop CR≤2, Loja",Engenharia,1x Tecido Resistente,Escrita,,,,,,,,,,,,,,,,,,,
Apito,Bugiganga,Ordinário,Sinal sonoro audível a até 300m. Coordena grupo ou alerta.,,2d10,Loja,Engenharia,1x Peça Mecânica,Sinalização,,,,,,,,,,,,,,,,,,,
Agasalho de Pele,Bugiganga,Ordinário,Proteção contra frio. Concede vantagem em testes de Fortitude em testes relacionados a frio. Não conta como armadura.,,2d10,"Drop CR≤2, Loja",Engenharia,1x Tecido Resistente,Sobrevivência,,,,,,,,,,,,,,,,,,,
Sino Pequeno,Bugiganga,Ordinário,Serve como alarme improvisado quando preso a fio/porta.,,2d10,"Drop CR≤2, Loja",Engenharia,1x Peça Mecânica,Sinalização,,,,,,,,,,,,,,,,,,,
Corda (5m),Bugiganga,Ordinário,Corda funcional de fibra natural. Aguenta ~200kg. 5 metros.,,2d10,"Drop CR≤2, Loja",Engenharia,1x Peça Mecânica,Travessia,,,,,,,,,,,,,,,,,,,
Erva Medicinal,Consumível,Ordinário,Usada em um teste de Medicina CD 10 para conceder 1d4+2 de Saude. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,2d10,"Drop CR≤2, Loja",Não-craftável,,"Curativo, Utilidade",,,,,,,,,,,,,,,,,,,
Saco de Dormir,Bugiganga,Ordinário,Eleva a qualidade de um descanso ao ar livre em 1 nível.,,2d10,Loja,Engenharia,1x Tecido Resistente,Armazenamento,,,,,,,,,,,,,,,,,,,
Giz,Bugiganga,Ordinário,Marca caminhos em dungeons/superfícies. Essencial para não se perder. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,2d10,"Drop CR≤2, Loja",Engenharia,1x Peça Mecânica,Exploração,,,,,,,,,,,,,,,,,,,
Atadura Limpa,Consumível,Ordinário,Retira a condição Sangramento como 1 ação. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,2d10,"Drop CR≤2, Loja",Não-craftável,,"Curativo, Utilidade",,,,,,,,,,,,,,,,,,,
Espelho Pequeno,Bugiganga,Ordinário,Útil para ver atrás de cantos sem se expor… e se checar de vez em quando. Concede +2 em Convencimento.,,2d10,Loja,Engenharia,1x Peça Mecânica,Exploração,,,,,,,,,,,,,,,,,,,
Cantil,Consumível,Ordinário,Armazena água limpa para 1 dia de hidratação. Necessária em viagens longas.,,2d10,"Drop CR≤2, Loja",Não-craftável,,Utilidade,,,,,,,,,,,,,,,,,,,
Gema Bruta,Material,Ordinário,Pedra semipreciosa sem polir. Valor decorativo/comercial.,,2d10,"Drop CR≤2, Drop CR≥3",Não-craftável,,Utilidade,,,,,,,,,,,,,,,,,,,
Escudo de Ferro,Escudo,Ordinário,"+2 Defender como reação. -1,5 Movimento",,2d10,"Drop CR≤2, Loja",Ferraria,2x Barra de Ferro,Escudo,,,,,,,,,,,,,,,,,,,
Escudo de Madeira,Escudo,Ordinário,+1 Defender como reação.,,2d10,"Drop CR≤2, Loja",Ferraria,2x Madeira Comum,Escudo,,,,,,,,,,,,,,,,,,,
Rolha de Cortiça,Lixo,Lixo,Tampa frascos. É isso. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Vela Derretida,Lixo,Lixo,Sem uso prático. Pode servir como cera de selo. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Saco Furado,Lixo,Lixo,Saco de estopa com buracos. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Água Suja (cantil),Lixo,Lixo,"Precisa ser purificada antes de beber, ou causa Enjoado (Fort CD 12).",,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Agulha Torta,Lixo,Lixo,Sem uso prático. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Bandagem Usada,Lixo,Lixo,Suja. Pode ser reutilizada com Medicina CD 18 para 1d6+4 de Saúde.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Pavio Curto,Lixo,Lixo,Acende por 5 min. Quase inútil.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Frasco Rachado,Lixo,Lixo,Não segura líquido. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Papel Úmido,Lixo,Lixo,Páginas ilegíveis. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Ração Mofada,Lixo,Lixo,Comível com Fort CD 10; falha causa Enjoado por 1 dia.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Pedra de Amolar Gasta,Lixo,Lixo,Último uso restante: +1 Atacar por 1 combate. Depois quebra.,,1d8+1,Drop CR≤2,Não-craftável,,Uso Único,,,,,,,,,,,,,,,,,,,
Lenha Molhada,Lixo,Lixo,Precisa secar 4h antes de poder queimar.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Linha de Costura,Lixo,Lixo,Conserta roupas. Não aguenta peso. Vendor trash.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Comida Estragada,Lixo,Lixo,Comestível com Fort CD 12; falha causa Enjoado por 1h.,,1d8+1,Drop CR≤2,Não-craftável,,,,,,,,,,,,,,,,,,,,,
Óleo Flamejante,Consumível,Incomum,Aplicado em arma: +1d6 Fogo nos próximos 3 ataques. Dura 1 min.,,5d6+15,"Alquimista, Drop CR≤2, Loja",Alquimia,2x Reagente Alquímico (x1),"Uso Único, Óleo",,,,,,,,,,,,,,,,,,,
Antídoto Simples,Consumível,Incomum,Remove Envenenamento não-mágico.,,5d6+15,"Alquimista, Drop CR≤2, Loja",Alquimia,2x Reagente Alquímico (x1),"Curativo, Uso Único",,,,,,,,,,,,,,,,,,,
Bastão de Luz,Consumível,Incomum,Bastonete que emite luz brilhante 6m + fraca 6m por 4 horas.,,5d6+15,"Alquimista, Drop CR≤2, Loja",Alquimia,2x Reagente Alquímico (x1),"Uso Único, Utilidade",,,,,,,,,,,,,,,,,,,
Óleo Congelante,Consumível,Incomum,Aplicado em arma: +1d6 Frio por 3 ataques. Crítico = Lento 1.,,5d6+15,"Alquimista, Loja",Alquimia,2x Reagente Alquímico (x1),"Uso Único, Óleo",,,,,,,,,,,,,,,,,,,
Frasco Congelante,Consumível,Incomum,"Arremesso 9m. 2d6 Frio. Cria superfície Escorregadia em 1,5m.",,5d6+15,"Alquimista, Drop CR≤2, Loja",Alquimia,2x Reagente Alquímico (x1),"Arremesso, Ofensivo, Uso Único",,,,,,,,,,,,,,,,,,,
Elixir de Resistência,Consumível,Incomum,"+2 Fortitude, +5 de Saúde temporária. 10 min.",,5d6+15,"Alquimista, Loja",Alquimia,2x Reagente Alquímico (x1),"Elixir, Uso Único",,,,,,,,,,,,,,,,,,,
Couro Líquido,Consumível,Incomum,+2 Armadura(Ar) natural por 10 min.,,5d6+15,"Alquimista, Drop CR≤2, Loja",Alquimia,2x Reagente Alquímico (x1),"Uso Único, Utilidade",,,,,,,,,,,,,,,,,,,
Bomba de Luz,Consumível,Incomum,Arremesso 9m. Flash em 6m. Reflexo ou Cego por 1 rodada.,,5d6+15,"Alquimista, Drop CR≤2, Loja",Alquimia,2x Reagente Alquímico (x1),"Arremesso, Ofensivo, Uso Único",,,,,,,,,,,,,,,,,,,
Pedra de Amolar,Consumível,Incomum,Aplica em arma: +1 Atacar no próximo combate. 1 uso.,,5d6+15,"Drop CR≤2, Loja",Não-craftável,,"Uso Único, Utilidade",,,,,,,,,,,,,,,,,,,
Poção de Vigor,Consumível,Incomum,Recupera 1d6 de Stamina.,,5d6+15,"Alquimista, Drop CR≤2, Loja",Alquimia,2x Reagente Alquímico (x1),"Curativo, Uso Único",,,,,,,,,,,,,,,,,,,
Veneno Fraco,Consumível,Incomum,Arma: +1d4 Veneno por 3 ataques. Fort ou Enjoado. Empilhável: pesa 1 bugiganga a cada 10 unidades.,,5d6+15,"Alquimista, Drop CR≤2, Loja",Alquimia,2x Reagente Alquímico (x1),"Uso Único, Veneno",,,,,,,,,,,,,,,,,,,
Ácido Corrosivo,Consumível,Incomum,"Arremesso 9m. 2d8 Ácido, ignora 2 de Armadura.",,5d6+15,"Alquimista, Drop CR≤2, Loja",Alquimia,2x Reagente Alquímico (x1),"Arremesso, Ofensivo, Uso Único",,,,,,,,,,,,,,,,,,,
Sal Revigorante,Consumível,Incomum,Acorda criatura Inconsciente. Remove Atordoado e Adormecido.,,5d6+15,"Alquimista, Drop CR≤2, Loja",Alquimia,2x Reagente Alquímico (x1),"Curativo, Uso Único",,,,,,,,,,,,,,,,,,,
Bálsamo Estabilizador,Consumível,Incomum,Criatura Morrendo fica estável e recupera +1 de Saúde em 1 min.,,5d6+15,"Alquimista, Drop CR≤2, Loja",Alquimia,2x Reagente Alquímico (x1),"Curativo, Uso Único",,,,,,,,,,,,,,,,,,,
Kit de Medicina,Bugiganga,Incomum,Concede vantagem em 3 testes de Medicina. 3 usos.,,5d6+15,"Drop CR≤2, Loja",Engenharia,1x Fibra Sintética,Médico,,,,,,,,,,,,,,,,,,,
Elixir de Agilidade,Consumível,Incomum,"+2 testes de Destreza, +1,5m de Movimento. 10 min.",,5d6+15,"Alquimista, Loja",Alquimia,2x Reagente Alquímico (x1),"Elixir, Uso Único",,,,,,,,,,,,,,,,,,,
Fumaça Densa,Consumível,Incomum,"Nuvem de 4,5m. Obscurecimento total por 1 min.",,5d6+15,"Alquimista, Drop CR≤2, Loja",Alquimia,2x Reagente Alquímico (x1),"Arremesso, Uso Único, Utilidade",,,,,,,,,,,,,,,,,,,
Pó de Espirro,Consumível,Incomum,Arremesso 3m. Fort ou Desorientado por 1 rodada.,,5d6+15,"Alquimista, Drop CR≤2, Loja",Alquimia,2x Reagente Alquímico (x1),"Arremesso, Ofensivo, Uso Único",,,,,,,,,,,,,,,,,,,
Mochila Reforçada,Bugiganga,Incomum,+3 Bugigangas e +1 Equipamento de capacidade.,,5d6+15,"Drop CR≤2, Loja",Engenharia,1x Fibra Sintética,Armazenamento,,,,,,,,,,,,,,,,,,,
Maça Sagrada,Arma,Exótico,Pesada Contundente +1. +1d8 Radiante contra Mortos-Vivos. Aplica Desorientado no Crítico.,,6d10+40,"Drop CR≥3, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Lâmina Necrótica,Arma,Exótico,Leve Cortante. 1d6+1d6 Necrótico. Reduz cura recebida pelo alvo pela metade por 1 rodada. +1 de dano para cada ataque sucessivo na mesma rodada contra o mesmo alvo.,,6d10+40,"Drop CR≥3, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Escudo de Aço,Escudo,Incomum,"+3 Defender. Ae(Cortante, 2).",,5d6+15,"Drop CR≥3, Loja",Ferraria,2x Aço Temperado,Escudo,,,,,,,,,,,,,,,,,,,
Adaga Dimensional,Arma,Exótico,Leve Perfurante +1. Ignora Ar do alvo. Ignora 1 de Evasão.,,6d10+40,"Drop CR≥3, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Escudo do Espinho,Escudo,Incomum,+2 Defender. Atacantes corpo a corpo sofrem 1d4 ao acertar você.,,5d6+15,"Drop CR≥3, Loja",Não-craftável,,Escudo,,,,,,,,,,,,,,,,,,,
Martelo Trovejante,Arma,Exótico,"Pesada Contundente. 1d10+1d6 Trovejante. Crítico: empurra 4,5m. Aplica Desorientado no Crítico.",,6d10+40,"Drop CR≥3, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Machado da Fúria,Arma,Exótico,Pesada Cortante +1. Abaixo de 50% de Saúde: +1d6 dano. Aplica Sangramento 1 no Crítico.,,6d10+40,"Drop CR≥3, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Arco do Vento,Arma,Exótico,Distância Simples +1. Flechas ignoram resistência a dano Perfurante. +1 Atacar se não tiver se movido nesta rodada. Alcance 18m.,,6d10+40,"Drop CR≥3, Loja",Não-craftável,,,,,,,,,,,,,,,,,,,,,
Botas do Silêncio,Item Mágico,Exótico,+4 Furtividade. Passos completamente silenciosos.,,6d10+40,"Drop CR≥3, Loja",Não-craftável,,Mobilidade,,,,,,,,,,,,,,,,,,,
Botas de Escalada,Item Mágico,Exótico,Vantagem em Movimento para escalar. Botas.,,6d10+40,"Drop CR≥3, Loja",Não-craftável,,Mobilidade,,,,,,,,,,,,,,,,,,,
Colar da Sanguessuga,Item Mágico,Exótico,Ao causar dano corpo a corpo: cura 1 de Saúde. Passiva.,,6d10+40,"Drop CR≥3, Loja",Não-craftável,,Suporte,,,,,,,,,,,,,,,,,,,
Luvas do Artesão,Item Mágico,Exótico,+4 Ofício (qualquer). Permanente.,,6d10+40,"Drop CR≥3, Loja",Não-craftável,,Utilidade,,,,,,,,,,,,,,,,,,,
Bracelete do Escudo,Item Mágico,Exótico,1x por descanso longo: +5 Evasão como ação livre por 1 rodada.,,6d10+40,"Drop CR≥3, Loja",Não-craftável,,Sobrevivência,,,,,,,,,,,,,,,,,,,
Capa de Deslocamento,Item Mágico,Exótico,1x por descanso longo: um ataque contra você erra automaticamente.,,6d10+40,"Drop CR≥3, Loja",Não-craftável,,Sobrevivência,,,,,,,,,,,,,,,,,,,
